username,password,kind,ip
customer_683714,123,0,191.138.106.172
customer_118543,123,0,45.45.248.117
customer_867671,123,0,6.219.253.77
customer_210981,123,0,70.236.109.162
customer_631950,123,0,26.164.27.143
customer_340300,123,0,82.77.105.36
customer_209422,123,0,244.5.138.236
customer_72291,123,0,151.145.19.143
customer_426156,123,0,109.27.34.53
customer_257629,123,0,219.57.194.197
customer_928003,123,0,220.40.77.36
customer_211412,123,0,61.51.247.36
customer_291555,123,0,120.236.229.15
customer_20796,123,0,77.248.61.154
customer_684429,123,0,112.81.33.42
customer_880552,123,0,189.7.93.58
customer_462701,123,0,3.56.236.46
customer_326516,123,0,149.67.142.198
customer_230575,123,0,165.153.115.167
customer_958681,123,0,92.232.109.160
customer_856199,123,0,192.81.13.79
customer_753431,123,0,222.9.214.16
customer_244988,123,0,223.157.22.50
customer_271535,123,0,44.90.180.113
customer_552754,123,0,13.220.179.93
customer_163483,123,0,150.100.43.77
customer_734420,123,0,60.231.19.142
customer_424723,123,0,12.139.205.108
customer_285920,123,0,157.126.50.29
customer_147888,123,0,126.158.142.233
customer_987937,123,0,43.99.130.216
customer_872123,123,0,149.34.121.78
customer_586326,123,0,223.126.66.162
customer_340422,123,0,218.231.206.37
customer_895509,123,0,157.81.76.106
customer_445808,123,0,155.214.31.244
customer_621978,123,0,163.83.106.151
customer_522560,123,0,95.191.156.83
customer_117464,123,0,250.207.197.187
customer_787195,123,0,199.65.159.253
customer_413479,123,0,96.234.77.218
customer_183314,123,0,77.172.143.231
customer_203341,123,0,224.94.168.245
customer_161800,123,0,64.175.110.173
customer_540774,123,0,131.168.11.189
customer_88940,123,0,49.233.231.138
customer_393770,123,0,192.254.126.239
customer_70142,123,0,214.100.64.153
customer_259652,123,0,183.212.199.24
customer_892472,123,0,31.62.193.206
customer_829457,123,0,137.130.239.93
customer_887400,123,0,219.46.92.174
customer_878419,123,0,57.146.1.89
customer_178354,123,0,160.56.236.238
customer_150036,123,0,4.122.29.246
customer_36781,123,0,11.124.241.130
customer_664267,123,0,84.219.168.52
customer_221202,123,0,193.164.95.191
customer_528501,123,0,55.131.220.5
customer_51481,123,0,67.212.196.152
customer_654319,123,0,150.177.235.73
customer_761271,123,0,185.122.163.58
customer_598373,123,0,193.73.61.89
customer_53313,123,0,8.105.90.18
customer_629992,123,0,40.141.247.69
customer_514323,123,0,60.108.116.240
customer_691864,123,0,193.198.184.146
customer_674703,123,0,50.140.209.197
customer_896670,123,0,54.24.25.252
customer_652849,123,0,192.110.217.208
customer_471652,123,0,178.49.40.97
customer_919896,123,0,72.117.196.60
customer_199721,123,0,245.211.33.28
customer_85299,123,0,121.86.149.207
customer_5344,123,0,164.34.20.99
customer_806871,123,0,253.47.2.210
customer_946150,123,0,239.88.142.87
customer_43382,123,0,30.30.224.196
customer_328287,123,0,42.18.143.24
customer_270872,123,0,222.203.175.84
customer_867998,123,0,63.192.149.22
customer_56300,123,0,74.66.91.5
customer_213642,123,0,101.23.107.168
