username,password,ip,goodsId
customer_683714,123,191.138.106.172,1
customer_118543,123,45.45.248.117,1
customer_867671,123,6.219.253.77,1
customer_210981,123,70.236.109.162,1
customer_631950,123,26.164.27.143,1
customer_340300,123,82.77.105.36,1
customer_209422,123,244.5.138.236,1
customer_72291,123,151.145.19.143,1
customer_426156,123,109.27.34.53,1
customer_257629,123,219.57.194.197,1
customer_928003,123,220.40.77.36,1
customer_211412,123,61.51.247.36,1
customer_291555,123,120.236.229.15,1
customer_20796,123,77.248.61.154,1
customer_684429,123,112.81.33.42,1
customer_880552,123,189.7.93.58,1
customer_462701,123,3.56.236.46,1
customer_326516,123,149.67.142.198,1
customer_230575,123,165.153.115.167,1
customer_958681,123,92.232.109.160,1
customer_856199,123,192.81.13.79,1
customer_753431,123,222.9.214.16,1
customer_244988,123,223.157.22.50,1
customer_271535,123,44.90.180.113,1
customer_552754,123,13.220.179.93,1
customer_163483,123,150.100.43.77,1
customer_734420,123,60.231.19.142,1
customer_424723,123,12.139.205.108,1
customer_285920,123,157.126.50.29,1
customer_147888,123,126.158.142.233,1
customer_987937,123,43.99.130.216,1
customer_872123,123,149.34.121.78,1
customer_586326,123,223.126.66.162,1
customer_340422,123,218.231.206.37,1
customer_895509,123,157.81.76.106,1
customer_445808,123,155.214.31.244,1
customer_621978,123,163.83.106.151,1
customer_522560,123,95.191.156.83,1
customer_117464,123,250.207.197.187,1
customer_787195,123,199.65.159.253,1
customer_413479,123,96.234.77.218,1
customer_183314,123,77.172.143.231,1
customer_203341,123,224.94.168.245,1
customer_161800,123,64.175.110.173,1
customer_540774,123,131.168.11.189,1
customer_88940,123,49.233.231.138,1
customer_393770,123,192.254.126.239,1
customer_70142,123,214.100.64.153,1
customer_259652,123,183.212.199.24,1
customer_892472,123,31.62.193.206,1
customer_829457,123,137.130.239.93,1
customer_887400,123,219.46.92.174,1
customer_878419,123,57.146.1.89,1
customer_178354,123,160.56.236.238,1
customer_150036,123,4.122.29.246,1
customer_36781,123,11.124.241.130,1
customer_664267,123,84.219.168.52,1
customer_221202,123,193.164.95.191,1
customer_528501,123,55.131.220.5,1
customer_51481,123,67.212.196.152,1
customer_654319,123,150.177.235.73,1
customer_761271,123,185.122.163.58,1
customer_598373,123,193.73.61.89,1
customer_53313,123,8.105.90.18,1
customer_629992,123,40.141.247.69,1
customer_514323,123,60.108.116.240,1
customer_691864,123,193.198.184.146,1
customer_674703,123,50.140.209.197,1
customer_896670,123,54.24.25.252,1
customer_652849,123,192.110.217.208,1
customer_471652,123,178.49.40.97,1
customer_919896,123,72.117.196.60,1
customer_199721,123,245.211.33.28,1
customer_85299,123,121.86.149.207,1
customer_5344,123,164.34.20.99,1
customer_806871,123,253.47.2.210,1
customer_946150,123,239.88.142.87,1
customer_43382,123,30.30.224.196,1
customer_328287,123,42.18.143.24,1
customer_270872,123,222.203.175.84,1
customer_867998,123,63.192.149.22,1
customer_56300,123,74.66.91.5,1
customer_213642,123,101.23.107.168,1
customer_782380,123,34.22.244.252,1
customer_28553,123,138.117.147.4,1
customer_92385,123,149.44.157.139,1
customer_153909,123,37.95.152.6,1
customer_450245,123,121.23.143.78,1
customer_954652,123,114.159.203.136,1
customer_454224,123,106.251.140.101,1
customer_103435,123,168.125.140.252,1
